ID1,Affinal_ID,Affinal_r
6002001,6002554,"[0,0.125)   "
6002005,6002101,"[0,0.125)   "
6002005,6002102,"[0,0.125)   "
6002005,6002360,"[0,0.125)   "
6002005,6002362,"[0,0.125)   "
6002005,6002363,"[0,0.125)   "
6002006,6002362,"[0,0.125)   "
6002006,6002363,"[0,0.125)   "
6002029,6002209,"[0,0.125)   "
6002029,6002211,"[0,0.125)   "
6002029,6002212,"[0,0.125)   "
6002029,6002380,"[0,0.125)   "
6002029,6002381,"[0,0.125)   "
6002029,6002382,"[0,0.125)   "
6002029,6002460,"[0,0.125)   "
6002029,6002464,"[0,0.125)   "
6002029,6002465,"[0,0.125)   "
6002029,6002466,"[0,0.125)   "
6002059,6002152,"[0,0.125)   "
6002059,6002221,"[0,0.125)   "
6002059,6002222,"[0,0.125)   "
6002059,6002492,"[0,0.125)   "
6002059,6002494,"[0,0.125)   "
6002059,6002495,"[0,0.125)   "
6002059,6002496,"[0,0.125)   "
6002061,6002150,"[0,0.125)   "
6002061,6002152,"[0,0.125)   "
6002061,6002220,"[0,0.125)   "
6002061,6002221,"[0,0.125)   "
6002061,6002222,"[0,0.125)   "
6002061,6002491,"[0,0.125)   "
6002061,6002492,"[0,0.125)   "
6002061,6002494,"[0,0.125)   "
6002061,6002495,"[0,0.125)   "
6002061,6002496,"[0,0.125)   "
6002063,6002150,"[0,0.125)   "
6002063,6002152,"[0,0.125)   "
6002063,6002220,"[0,0.125)   "
6002063,6002221,"[0,0.125)   "
6002063,6002222,"[0,0.125)   "
6002063,6002491,"[0,0.125)   "
6002063,6002492,"[0,0.125)   "
6002063,6002494,"[0,0.125)   "
6002063,6002495,"[0,0.125)   "
6002063,6002496,"[0,0.125)   "
6002071,6002097,"[0,0.125)   "
6002071,6002098,"[0,0.125)   "
6002072,6002097,"[0,0.125)   "
6002072,6002098,"[0,0.125)   "
6002096,6002074,"[0,0.125)   "
6002096,6002075,"[0,0.125)   "
6002099,6002010,"[0,0.125)   "
6002099,6002011,"[0,0.125)   "
6002099,6002012,"[0,0.125)   "
6002099,6002362,"[0,0.125)   "
6002099,6002363,"[0,0.125)   "
6002105,6002040,"[0,0.125)   "
6002105,6002041,"[0,0.125)   "
6002105,6002045,"[0,0.125)   "
6002105,6002046,"[0,0.125)   "
6002108,6002183,"[0,0.125)   "
6002108,6002344,"[0,0.125)   "
6002108,6002345,"[0,0.125)   "
6002108,6002371,"[0,0.125)   "
6002108,6002372,"[0,0.125)   "
6002109,6002181,"[0,0.125)   "
6002109,6002182,"[0,0.125)   "
6002109,6002183,"[0,0.125)   "
6002109,6002275,"[0,0.125)   "
6002109,6002276,"[0,0.125)   "
6002109,6002342,"[0,0.125)   "
6002109,6002344,"[0,0.125)   "
6002109,6002345,"[0,0.125)   "
6002109,6002369,"[0,0.125)   "
6002109,6002371,"[0,0.125)   "
6002109,6002372,"[0,0.125)   "
6002109,6002504,"[0,0.125)   "
6002145,6002211,"[0,0.125)   "
6002145,6002212,"[0,0.125)   "
6002145,6002465,"[0,0.125)   "
6002145,6002466,"[0,0.125)   "
6002146,6002209,"[0,0.125)   "
6002146,6002211,"[0,0.125)   "
6002146,6002212,"[0,0.125)   "
6002146,6002380,"[0,0.125)   "
6002146,6002381,"[0,0.125)   "
6002146,6002382,"[0,0.125)   "
6002146,6002460,"[0,0.125)   "
6002146,6002464,"[0,0.125)   "
6002146,6002465,"[0,0.125)   "
6002146,6002466,"[0,0.125)   "
6002150,6002061,"[0,0.125)   "
6002150,6002063,"[0,0.125)   "
6002150,6002065,"[0,0.125)   "
6002150,6002066,"[0,0.125)   "
6002150,6002067,"[0,0.125)   "
6002150,6002123,"[0,0.125)   "
6002150,6002190,"[0,0.125)   "
6002156,6002057,"[0,0.125)   "
6002156,6002058,"[0,0.125)   "
6002156,6002375,"[0,0.125)   "
6002156,6002376,"[0,0.125)   "
6002156,6002485,"[0,0.125)   "
6002156,6002495,"[0,0.125)   "
6002156,6002496,"[0,0.125)   "
6002180,6002111,"[0,0.125)   "
6002180,6002112,"[0,0.125)   "
6002180,6002439,"[0,0.125)   "
6002180,6002440,"[0,0.125)   "
6002181,6002109,"[0,0.125)   "
6002181,6002111,"[0,0.125)   "
6002181,6002112,"[0,0.125)   "
6002181,6002285,"[0,0.125)   "
6002181,6002286,"[0,0.125)   "
6002181,6002344,"[0,0.125)   "
6002181,6002345,"[0,0.125)   "
6002181,6002371,"[0,0.125)   "
6002181,6002372,"[0,0.125)   "
6002181,6002438,"[0,0.125)   "
6002181,6002439,"[0,0.125)   "
6002181,6002440,"[0,0.125)   "
6002188,6002495,"[0,0.125)   "
6002188,6002496,"[0,0.125)   "
6002201,6002209,"[0,0.125)   "
6002201,6002211,"[0,0.125)   "
6002201,6002212,"[0,0.125)   "
6002201,6002380,"[0,0.125)   "
6002201,6002381,"[0,0.125)   "
6002201,6002382,"[0,0.125)   "
6002201,6002460,"[0,0.125)   "
6002201,6002464,"[0,0.125)   "
6002201,6002465,"[0,0.125)   "
6002201,6002466,"[0,0.125)   "
6002209,6002029,"[0,0.125)   "
6002209,6002031,"[0,0.125)   "
6002209,6002146,"[0,0.125)   "
6002209,6002148,"[0,0.125)   "
6002209,6002149,"[0,0.125)   "
6002209,6002201,"[0,0.125)   "
6002209,6002203,"[0,0.125)   "
6002209,6002204,"[0,0.125)   "
6002209,6002408,"[0,0.125)   "
6002209,6002409,"[0,0.125)   "
6002209,6002465,"[0,0.125)   "
6002209,6002466,"[0,0.125)   "
6002219,6002362,"[0,0.125)   "
6002219,6002363,"[0,0.125)   "
6002230,6002255,"[0,0.125)   "
6002230,6002256,"[0,0.125)   "
6002243,6002362,"[0,0.125)   "
